time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-16 00:00:00+00:00,0,0,1,1
2024-02-19 00:00:00+00:00,0,0,33,1
2024-03-02 00:00:00+00:00,1,1,3,2
2024-03-03 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,0,0,2,1
2024-03-05 00:00:00+00:00,1,1,2,1
2024-03-06 00:00:00+00:00,0,0,2,1
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-14 00:00:00+00:00,0,0,2,1
2024-03-28 00:00:00+00:00,1,1,3,1
2024-03-29 00:00:00+00:00,1,1,1,1
2024-03-31 00:00:00+00:00,0,0,1,1
2024-04-07 00:00:00+00:00,0,0,1,1
2024-04-10 00:00:00+00:00,0,0,11,1
2024-04-12 00:00:00+00:00,1,1,0,0
2024-04-13 00:00:00+00:00,0,0,1,1
2024-04-14 00:00:00+00:00,0,0,8,2
2024-04-19 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-26 00:00:00+00:00,1,1,0,0
2024-04-30 00:00:00+00:00,0,0,1,1
2024-05-02 00:00:00+00:00,12,1,0,0
2024-05-08 00:00:00+00:00,0,0,22,1
2024-05-13 00:00:00+00:00,1,1,1,1
2024-05-15 00:00:00+00:00,3,1,3,1
2024-05-16 00:00:00+00:00,0,0,1,1
2024-05-23 00:00:00+00:00,0,0,7,1
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-26 00:00:00+00:00,0,0,12,1
2024-05-27 00:00:00+00:00,0,0,14,1
2024-06-05 00:00:00+00:00,0,0,1,1
2024-06-11 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-17 00:00:00+00:00,0,0,1,1
2024-08-14 00:00:00+00:00,0,0,3,1
2024-08-19 00:00:00+00:00,2,2,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-15 00:00:00+00:00,0,0,2,1
